School Code,District Code,Region,Grade 2012,Ach 2012,Grth 2012,Grade 2011,Ach 2011,Grth 2011,Grade 2010,Ach 2010,Grth 2010,FRL 2012,FRL 2011,FRL 2010,Asian 2012,Black 2012,hisp 2012,White 2012,Asian 2011,Black 2011,hisp 2011,White 2011,Asian 2010,Black 2010,hisp 2010,White 2010
2088,860,Pikes Peak,6,7,5,7,9,6,6,7,5,51.33%,45.2%,45.2%,0.022727273,0,0.034090909,0.903409091,0.011049724,0.005524862,0.044198895,0.922651934,0.011049724,0.005524862,0.044198895,0.922651934
2089,1560,North Central,13,13,13,13,12,13,13,13,13,14.96%,13.0%,13.0%,0.070381232,0.020527859,0.08797654,0.780058651,0.040345821,0.017291066,0.086455331,0.806916427,0.040345821,0.017291066,0.086455331,0.806916427
42,2640,Northwest,6,7,4,6,8,5,9,8,6,1.55%,2.4%,2.4%,0.007751938,0,0.031007752,0.953488372,0.007936508,0,0.031746032,0.96031746,0.007936508,0,0.031746032,0.96031746
4140,880,Metro,5,3,6,5,1,6,6,1,6,94.39%,93.7%,93.7%,0.003541913,0.145218418,0.809917355,0.016528926,0.002421308,0.156174334,0.802663438,0.010895884,0.002421308,0.156174334,0.802663438,0.010895884
6189,180,Metro,6,6,7,7,6,8,7,6,7,37.94%,36.2%,36.2%,0.050847458,0.223728814,0.269491525,0.384745763,0.051666667,0.255,0.258333333,0.375,0.051666667,0.255,0.258333333,0.375
2094,130,Metro,7,7,6,6,7,5,7,7,6,18.22%,18.7%,18.7%,0.107019563,0.110471807,0.155350978,0.591484465,0.118527043,0.098964327,0.151898734,0.592635213,0.118527043,0.098964327,0.151898734,0.592635213
2095,180,Metro,9,6,9,9,6,8,9,6,10,49.40%,52.0%,52.0%,0.058823529,0.165085389,0.341555977,0.375711575,0.062724014,0.152329749,0.335125448,0.396057348,0.062724014,0.152329749,0.335125448,0.396057348
2096,2690,Pikes Peak,9,9,6,9,10,9,6,9,6,45.43%,48.9%,48.9%,0.021705426,0.010852713,0.558139535,0.378294574,0.018072289,0.00753012,0.542168675,0.399096386,0.018072289,0.00753012,0.542168675,0.399096386
8242,880,Metro,10,9,9,9,9,10,10,9,12,12.36%,11.2%,11.2%,0.013729977,0.013729977,0.082379863,0.869565217,0.012631579,0.008421053,0.092631579,0.863157895,0.012631579,0.008421053,0.092631579,0.863157895
52,3120,North Central,6,6,6,6,6,6,7,6,7,55.80%,54.9%,54.9%,0.017391304,0.017391304,0.498550725,0.446376812,0.010680908,0.001335113,0.495327103,0.464619493,0.010680908,0.001335113,0.495327103,0.464619493
53,3120,North Central,6,6,5,6,6,5,6,6,6,46.32%,46.1%,46.1%,0.005016722,0.006688963,0.493311037,0.47993311,0.008787346,0.001757469,0.520210896,0.449912127,0.008787346,0.001757469,0.520210896,0.449912127
8246,1010,Pikes Peak,12,10,10,12,12,11,13,12,12,16.54%,15.7%,15.7%,0.018382353,0.007352941,0.0625,0.852941176,0.014285714,0.010714286,0.060714286,0.85,0.014285714,0.010714286,0.060714286,0.85
55,3100,North Central,7,9,6,9,9,8,6,9,6,22.18%,19.3%,19.3%,0.01048951,0.005244755,0.152097902,0.797202797,0.013257576,0.007575758,0.138257576,0.804924242,0.013257576,0.007575758,0.138257576,0.804924242
56,2540,Southeast,6,9,5,6,9,6,8,9,7,60.00%,55.3%,55.3%,0,0,0.234782609,0.756521739,0,0,0.229787234,0.753191489,0,0,0.229787234,0.753191489
7860,70,Metro,5,2,6,1,1,2,1,2,2,86.69%,82.2%,82.2%,0.007604563,0.019011407,0.745247148,0.19391635,0.007407407,0.014814815,0.759259259,0.196296296,0.007407407,0.014814815,0.759259259,0.196296296
58,1620,Southeast,6,5,5,6,6,6,6,6,5,36.36%,82.4%,82.4%,0,0,0.593220339,0.406779661,0,0,0.636363636,0.363636364,0,0,0.636363636,0.363636364
59,20,Metro,11,10,10,12,10,10,11,10,9,3.89%,3.5%,3.5%,0.055743243,0.011824324,0.077702703,0.829391892,0.022970904,0.009188361,0.078101072,0.868300153,0.022970904,0.009188361,0.078101072,0.868300153
60,470,North Central,6,6,9,10,6,12,8,6,9,21.63%,21.8%,21.8%,0.019230769,0.005244755,0.195804196,0.763986014,0.017953321,0.008976661,0.166965889,0.797127469,0.017953321,0.008976661,0.166965889,0.797127469
61,470,North Central,6,6,6,7,9,6,6,8,6,23.79%,21.8%,21.8%,0.047358834,0.014571949,0.225865209,0.677595628,0.052631579,0.016917293,0.193609023,0.710526316,0.052631579,0.016917293,0.193609023,0.710526316
4158,1780,Northeast,6,6,6,6,6,6,9,6,8,61.63%,54.5%,54.5%,0,0.03,0.03,0.94,0,0.033333333,0,0.966666667,0,0.033333333,0,0.966666667
63,1390,Southeast,1,6,1,1,6,1,3,5,1,80.92%,79.2%,79.2%,0.015337423,0.012269939,0.690184049,0.242331288,0.009118541,0.003039514,0.696048632,0.255319149,0.009118541,0.003039514,0.696048632,0.255319149
6208,480,Metro,7,9,8,8,9,7,7,6,7,20.38%,21.5%,21.5%,0.020979021,0.003496503,0.041958042,0.867132867,0.024054983,0.003436426,0.051546392,0.862542955,0.024054983,0.003436426,0.051546392,0.862542955
2114,180,Metro,6,3,7,5,4,6,9,5,10,56.12%,57.4%,57.4%,0.022113022,0.125307125,0.422604423,0.366093366,0.033482143,0.162946429,0.379464286,0.352678571,0.033482143,0.162946429,0.379464286,0.352678571
8852,1550,North Central,9,7,9,9,8,10,10,8,10,41.72%,34.7%,34.7%,0.009433962,0.003144654,0.27672956,0.679245283,0.01980198,0.00330033,0.211221122,0.742574257,0.01980198,0.00330033,0.211221122,0.742574257
6156,470,North Central,6,6,6,6,6,6,6,6,5,74.71%,70.0%,70.0%,0.023017903,0.007672634,0.491048593,0.447570332,0.020725389,0.015544041,0.461139896,0.481865285,0.020725389,0.015544041,0.461139896,0.481865285
2122,1980,West Central,8,8,6,7,8,7,6,7,5,45.90%,39.7%,39.7%,0,0,0.102272727,0.886363636,0,0.010869565,0.086956522,0.891304348,0,0.010869565,0.086956522,0.891304348
4172,20,Metro,13,13,12,13,13,12,13,13,12,7.23%,8.5%,8.5%,0.16516129,0.018064516,0.112258065,0.659354839,0.090410959,0.009589041,0.108219178,0.753424658,0.090410959,0.009589041,0.108219178,0.753424658
6222,1520,Southwest,6,7,5,7,7,6,7,7,6,36.92%,32.4%,32.4%,0.009876543,0.007407407,0.185185185,0.713580247,0.009328358,0,0.130597015,0.791044776,0.009328358,0,0.130597015,0.791044776
2128,2000,West Central,4,6,2,6,6,3,8,6,8,19.84%,18.5%,18.5%,0.015564202,0.003891051,0.120622568,0.821011673,0.017167382,0.004291845,0.094420601,0.858369099,0.017167382,0.004291845,0.094420601,0.858369099
8888,880,Metro,6,6,6,7,6,6,6,6,6,67.76%,63.5%,63.5%,0.055276382,0.010050251,0.685092127,0.206030151,0.057432432,0.006756757,0.714527027,0.184121622,0.057432432,0.006756757,0.714527027,0.184121622
8276,1420,Metro,7,7,7,9,7,9,7,7,7,46.56%,43.8%,43.8%,0.02295082,0.013114754,0.281967213,0.636065574,0.019047619,0.019047619,0.263492063,0.650793651,0.019047619,0.019047619,0.263492063,0.650793651
14,20,Metro,8,6,9,6,6,6,7,6,7,33.59%,32.8%,32.8%,0.05313093,0.013282732,0.360531309,0.548387097,0.022857143,0.005714286,0.356190476,0.603809524,0.022857143,0.005714286,0.356190476,0.603809524
86,3030,Northeast,6,6,8,9,7,8,6,6,8,58.33%,58.8%,58.8%,0.012295082,0,0.135245902,0.81147541,0.003846154,0.003846154,0.126923077,0.834615385,0.003846154,0.003846154,0.126923077,0.834615385
4793,1550,North Central,11,10,12,12,10,12,12,9,10,24.95%,19.6%,19.6%,0.036630037,0.036630037,0.111721612,0.78021978,0.039772727,0.020833333,0.087121212,0.810606061,0.039772727,0.020833333,0.087121212,0.810606061
4190,1420,Metro,7,9,6,6,10,5,6,10,5,14.63%,13.8%,13.8%,0.019955654,0.00443459,0.11751663,0.827050998,0.009195402,0.013793103,0.108045977,0.83908046,0.009195402,0.013793103,0.108045977,0.83908046
870,1560,North Central,6,6,6,9,6,6,6,7,6,21.62%,25.2%,25.2%,0.043243243,0,0.027027027,0.924324324,0.014563107,0,0.053398058,0.927184466,0.014563107,0,0.053398058,0.927184466
9232,1420,Metro,10,6,12,12,8,13,9,6,12,40.88%,37.6%,37.6%,0.002941176,0.005882353,0.308823529,0.629411765,0.005830904,0.008746356,0.29154519,0.635568513,0.005830904,0.008746356,0.29154519,0.635568513
6844,1420,Metro,6,6,6,6,7,6,5,6,6,38.79%,31.3%,31.3%,0.018691589,0.009345794,0.242990654,0.691588785,0.02200489,0.007334963,0.24205379,0.699266504,0.02200489,0.007334963,0.24205379,0.699266504
4202,470,North Central,9,7,8,7,9,8,9,9,6,21.81%,16.4%,16.4%,0.026442308,0.009615385,0.103365385,0.822115385,0.021126761,0.009389671,0.107981221,0.835680751,0.021126761,0.009389671,0.107981221,0.835680751
1383,980,Pikes Peak,8,5,9,7,5,9,6,5,8,85.27%,92.8%,92.8%,0.037037037,0.193415638,0.462962963,0.279835391,0.020930233,0.246511628,0.446511628,0.213953488,0.020930233,0.246511628,0.446511628,0.213953488
8300,1420,Metro,6,6,5,7,6,6,6,6,6,30.48%,30.2%,30.2%,0.047887324,0.008450704,0.174647887,0.721126761,0.038356164,0.010958904,0.164383562,0.731506849,0.038356164,0.010958904,0.164383562,0.731506849
6254,880,Metro,10,5,12,3,3,6,3,3,6,95.89%,96.1%,96.1%,0.008818342,0,0.954144621,0.028218695,0.00173913,0.00173913,0.96173913,0.033043478,0.00173913,0.00173913,0.96173913,0.033043478
1384,3120,North Central,5,2,6,5,3,6,4,3,5,92.79%,93.6%,93.6%,0.124233129,0.084355828,0.687116564,0.095092025,0.09375,0.051630435,0.743206522,0.105978261,0.09375,0.051630435,0.743206522,0.105978261
4212,540,Metro,5,6,5,5,6,5,6,6,6,46.96%,52.8%,52.8%,0.022988506,0,0.16091954,0.762452107,0.021645022,0.004329004,0.138528139,0.783549784,0.021645022,0.004329004,0.138528139,0.783549784
1385,1560,North Central,8,8,9,9,9,9,9,7,9,29.07%,28.8%,28.8%,0.010025063,0.012531328,0.137844612,0.822055138,0.009592326,0.014388489,0.148681055,0.815347722,0.009592326,0.014388489,0.148681055,0.815347722
6264,2000,West Central,9,5,13,6,5,7,8,5,9,79.53%,79.4%,79.4%,0.008695652,0.002173913,0.404347826,0.545652174,0.012526096,0.006263048,0.39039666,0.559498956,0.012526096,0.006263048,0.39039666,0.559498956
8392,990,Pikes Peak,6,6,6,6,7,6,7,8,6,46.37%,44.7%,44.7%,0.014814815,0.114074074,0.244444444,0.518518519,0.018547141,0.14683153,0.248840804,0.530139104,0.018547141,0.14683153,0.248840804,0.530139104
362,2000,West Central,5,6,4,6,6,6,3,6,2,35.05%,36.9%,36.9%,0.010432191,0,0.15052161,0.785394933,0.00764526,0.001529052,0.154434251,0.77675841,0.00764526,0.001529052,0.154434251,0.77675841
2174,880,Metro,7,6,9,6,6,9,9,6,10,63.02%,57.6%,57.6%,0.046808511,0.010638298,0.693617021,0.227659574,0.036951501,0.016166282,0.66743649,0.249422633,0.036951501,0.016166282,0.66743649,0.249422633
6274,470,North Central,12,12,10,13,12,12,12,12,10,5.86%,6.2%,6.2%,0.048218029,0.016771488,0.054507338,0.878406709,0.062893082,0.012578616,0.060796646,0.857442348,0.062893082,0.012578616,0.060796646,0.857442348
1046,2000,West Central,9,8,9,11,8,10,7,7,6,23.53%,24.8%,24.8%,0.009389671,0.004694836,0.107981221,0.812206573,0.016326531,0.008163265,0.093877551,0.828571429,0.016326531,0.008163265,0.093877551,0.828571429
8328,60,Northeast,6,6,7,7,6,6,9,6,9,31.96%,23.7%,23.7%,0.010775862,0.010775862,0.114224138,0.846982759,0.011013216,0.004405286,0.110132159,0.859030837,0.011013216,0.004405286,0.110132159,0.859030837
1730,1420,Metro,10,9,10,9,9,9,9,8,7,24.65%,20.3%,20.3%,0,0,0.084507042,0.85915493,0,0,0.113821138,0.853658537,0,0,0.113821138,0.853658537
6286,1420,Metro,9,12,8,9,12,8,10,12,9,11.41%,9.2%,9.2%,0.036036036,0,0.087087087,0.833333333,0.025899281,0,0.09352518,0.843165468,0.025899281,0,0.09352518,0.843165468
8337,980,Pikes Peak,5,5,6,6,6,8,9,6,9,85.00%,85.1%,85.1%,0.040372671,0.118012422,0.322981366,0.459627329,0.021276596,0.124113475,0.368794326,0.375886525,0.021276596,0.124113475,0.368794326,0.375886525
2194,1420,Metro,12,12,10,12,12,10,10,11,8,12.68%,13.4%,13.4%,0.039285714,0.007142857,0.105357143,0.796428571,0.038525963,0.005025126,0.118927973,0.797319933,0.038525963,0.005025126,0.118927973,0.797319933
2195,1040,Pikes Peak,6,10,5,9,10,7,9,11,7,7.71%,5.9%,5.9%,0.031358885,0.024825784,0.101045296,0.787456446,0.0359447,0.025806452,0.091705069,0.788018433,0.0359447,0.025806452,0.091705069,0.788018433
148,1420,Metro,6,5,6,6,5,6,6,5,9,69.63%,70.7%,70.7%,0.023364486,0.018691589,0.425233645,0.504672897,0.009615385,0.024038462,0.423076923,0.514423077,0.009615385,0.024038462,0.423076923,0.514423077
6294,40,Metro,3,3,5,3,3,6,6,5,9,80.00%,82.9%,82.9%,0.007462687,0.007462687,0.850746269,0.116915423,0.005221932,0.002610966,0.864229765,0.114882507,0.005221932,0.002610966,0.864229765,0.114882507
7876,740,Southwest,4,6,3,5,6,2,6,6,6,92.98%,87.3%,87.3%,0,0.00877193,0.780701754,0.175438596,0,0.008474576,0.771186441,0.186440678,0,0.008474576,0.771186441,0.186440678
6298,870,West Central,12,13,11,9,12,9,8,9,6,44.44%,51.7%,51.7%,0.037974684,0,0.113924051,0.835443038,0.039473684,0,0.144736842,0.802631579,0.039473684,0,0.144736842,0.802631579
4251,1110,Pikes Peak,8,8,6,9,9,6,9,9,7,5.11%,0.4%,0.4%,0.014962594,0.057356608,0.164588529,0.670822943,0.013100437,0.062590975,0.132459971,0.723435226,0.013100437,0.062590975,0.132459971,0.723435226
2204,2055,Southwest,7,7,6,9,7,8,8,7,7,46.71%,44.5%,44.5%,0.003460208,0.003460208,0.128027682,0.830449827,0.007067138,0.003533569,0.109540636,0.83745583,0.007067138,0.003533569,0.109540636,0.83745583
8350,980,Pikes Peak,7,6,7,4,5,3,3,5,3,87.47%,92.7%,92.7%,0.030952381,0.1,0.530952381,0.311904762,0.037333333,0.112,0.554666667,0.258666667,0.037333333,0.112,0.554666667,0.258666667
5246,470,North Central,5,5,5,5,5,5,5,5,5,76.98%,79.1%,79.1%,0.014705882,0.004901961,0.737745098,0.227941176,0.008948546,0.008948546,0.727069351,0.241610738,0.008948546,0.008948546,0.727069351,0.241610738
2758,470,North Central,11,7,12,9,7,10,11,7,12,17.23%,15.5%,15.5%,0.039577836,0.005277045,0.10817942,0.839050132,0.034161491,0.010869565,0.100931677,0.847826087,0.034161491,0.010869565,0.100931677,0.847826087
8358,2770,Northwest,10,10,9,10,11,9,6,10,6,15.58%,15.6%,15.6%,0.021153846,0.005769231,0.103846154,0.842307692,0.017821782,0,0.110891089,0.853465347,0.017821782,0,0.110891089,0.853465347
8359,1010,Pikes Peak,1,5,1,3,3,4,3,3,1,73.32%,71.3%,71.3%,0.00896861,0.179372197,0.446188341,0.278026906,0.011655012,0.193473193,0.424242424,0.300699301,0.011655012,0.193473193,0.424242424,0.300699301
8361,20,Metro,3,3,5,6,5,6,2,5,5,80.25%,76.4%,76.4%,0.03,0.0325,0.555,0.3475,0.004291845,0.019313305,0.502145923,0.444206009,0.004291845,0.019313305,0.502145923,0.444206009
4270,180,Metro,6,4,8,2,3,4,1,5,3,75.16%,73.0%,73.0%,0.039583333,0.229166667,0.422916667,0.25,0.043643264,0.235294118,0.432637571,0.24288425,0.043643264,0.235294118,0.432637571,0.24288425
2224,2000,West Central,6,5,6,6,5,5,5,5,6,77.91%,80.9%,80.9%,0.008064516,0.010752688,0.336021505,0.620967742,0.004662005,0.006993007,0.333333333,0.622377622,0.004662005,0.006993007,0.333333333,0.622377622
8370,3000,Northwest,9,5,9,9,5,12,6,5,9,54.25%,52.8%,52.8%,0.009803922,0,0.578431373,0.397058824,0.010126582,0,0.564556962,0.417721519,0.010126582,0,0.564556962,0.417721519
4276,130,Metro,5,6,6,6,6,6,6,6,6,52.75%,49.4%,49.4%,0.029661017,0.194915254,0.264830508,0.453389831,0.034979424,0.189300412,0.255144033,0.475308642,0.034979424,0.189300412,0.255144033,0.475308642
30,1420,Metro,9,9,7,9,9,7,9,9,9,40.09%,33.5%,33.5%,0.095327103,0.01682243,0.175700935,0.657943925,0.089108911,0.013861386,0.17029703,0.667326733,0.089108911,0.013861386,0.17029703,0.667326733
4278,470,North Central,4,5,6,6,5,8,5,6,6,95.34%,91.6%,91.6%,0.006550218,0.004366812,0.906113537,0.082969432,0.006072874,0.012145749,0.854251012,0.12145749,0.006072874,0.012145749,0.854251012,0.12145749
4280,130,Metro,10,9,9,10,10,11,9,10,9,9.71%,9.2%,9.2%,0.100511073,0.091993186,0.102214651,0.633730835,0.118616145,0.092257002,0.108731466,0.611202636,0.118616145,0.092257002,0.108731466,0.611202636
2233,900,Metro,7,9,7,8,9,9,9,9,9,13.66%,11.6%,11.6%,0.034146341,0.016260163,0.143089431,0.752845528,0.030546624,0.017684887,0.144694534,0.747588424,0.030546624,0.017684887,0.144694534,0.747588424
186,30,Metro,4,3,5,6,5,6,1,5,1,89.46%,87.8%,87.8%,0.001672241,0.026755853,0.797658863,0.155518395,0.003125,0.0203125,0.7953125,0.159375,0.003125,0.0203125,0.7953125,0.159375
8379,3020,Pikes Peak,6,6,6,9,6,9,6,7,6,43.50%,40.4%,40.4%,0.002386635,0.002386635,0.081145585,0.875894988,0.009433962,0.004716981,0.113207547,0.83490566,0.009433962,0.004716981,0.113207547,0.83490566
8380,130,Metro,6,6,6,6,6,5,6,7,6,43.36%,38.6%,38.6%,0.035225049,0.148727984,0.219178082,0.516634051,0.021072797,0.151340996,0.229885057,0.513409962,0.021072797,0.151340996,0.229885057,0.513409962
6858,1150,Pikes Peak,2,6,1,5,6,5,5,6,4,53.47%,59.0%,59.0%,0.004081633,0.004081633,0.155102041,0.791836735,0,0.0078125,0.15625,0.80078125,0,0.0078125,0.15625,0.80078125
8382,900,Metro,11,11,10,9,11,9,12,12,10,4.80%,3.8%,3.8%,0.042704626,0.001779359,0.074733096,0.846975089,0.055749129,0.006968641,0.048780488,0.857142857,0.055749129,0.006968641,0.048780488,0.857142857
561,1180,Northwest,10,6,12,12,6,13,9,6,12,42.89%,49.8%,49.8%,0.009803922,0,0.551470588,0.416666667,0.004926108,0.002463054,0.566502463,0.403940887,0.004926108,0.002463054,0.566502463,0.403940887
2240,480,Metro,12,12,11,13,13,11,12,13,11,4.39%,4.9%,4.9%,0.041570439,0,0.050808314,0.838337182,0.027906977,0,0.044186047,0.851162791,0.027906977,0,0.044186047,0.851162791
9248,1140,Pikes Peak,9,6,10,9,6,9,6,7,7,61.13%,62.5%,62.5%,0.016085791,0.008042895,0.147453083,0.777479893,0.022535211,0.005633803,0.166197183,0.76056338,0.022535211,0.005633803,0.166197183,0.76056338
6338,1000,Pikes Peak,6,6,5,6,7,6,6,7,5,46.81%,51.8%,51.8%,0.023961661,0.178913738,0.204472843,0.480830671,0.012302285,0.198594025,0.20913884,0.492091388,0.012302285,0.198594025,0.20913884,0.492091388
4292,900,Metro,7,9,6,9,9,6,8,9,7,13.74%,13.2%,13.2%,0.009157509,0,0.117216117,0.820512821,0.018083183,0.001808318,0.113924051,0.819168174,0.018083183,0.001808318,0.113924051,0.819168174
2248,1040,Pikes Peak,6,7,5,6,8,6,6,9,6,30.55%,32.8%,32.8%,0.007832898,0.065274151,0.164490862,0.639686684,0.019277108,0.079518072,0.185542169,0.578313253,0.019277108,0.079518072,0.185542169,0.578313253
8394,130,Metro,6,6,7,9,6,9,7,6,7,44.34%,39.0%,39.0%,0.029288703,0.19525802,0.20083682,0.470013947,0.025641026,0.170940171,0.209401709,0.481481481,0.025641026,0.170940171,0.209401709,0.481481481
8398,2020,Northwest,3,6,1,5,6,3,4,6,3,42.24%,39.6%,39.6%,0,0.00330033,0.171617162,0.782178218,0,0,0.176470588,0.777777778,0,0,0.176470588,0.777777778
8122,990,Pikes Peak,6,6,6,8,6,9,6,6,6,51.46%,50.8%,50.8%,0.017977528,0.060674157,0.305617978,0.478651685,0.014527845,0.072639225,0.297820823,0.489104116,0.014527845,0.072639225,0.297820823,0.489104116
9592,900,Metro,12,11,12,9,11,6,9,12,6,3.13%,5.0%,5.0%,0.082372323,0,0.070840198,0.81383855,0.072847682,0.003311258,0.067880795,0.822847682,0.072847682,0.003311258,0.067880795,0.822847682
2258,880,Metro,7,3,12,7,3,10,7,3,9,95.44%,95.2%,95.2%,0.021072797,0.013409962,0.885057471,0.059386973,0.008097166,0.01417004,0.900809717,0.062753036,0.008097166,0.01417004,0.900809717,0.062753036
6355,20,Metro,5,3,6,6,3,9,6,4,8,83.72%,80.4%,80.4%,0.020930233,0.039534884,0.611627907,0.320930233,0.015625,0.011160714,0.627232143,0.337053571,0.015625,0.011160714,0.627232143,0.337053571
213,180,Metro,6,4,6,4,5,5,5,4,9,59.95%,51.9%,51.9%,0.017777778,0.322222222,0.302222222,0.293333333,0.022727273,0.332386364,0.309659091,0.275568182,0.022727273,0.332386364,0.309659091,0.275568182
214,180,Metro,6,1,6,4,1,6,6,2,10,95.24%,96.5%,96.5%,0.013806706,0.08086785,0.74556213,0.118343195,0.00811359,0.113590264,0.744421907,0.095334686,0.00811359,0.113590264,0.744421907,0.095334686
215,900,Metro,10,12,9,10,12,8,12,12,9,1.68%,1.5%,1.5%,0.057174888,0.003363229,0.076233184,0.825112108,0.06779661,0.002259887,0.065536723,0.832768362,0.06779661,0.002259887,0.065536723,0.832768362
220,880,Metro,5,1,6,3,1,6,2,2,6,96.17%,94.3%,94.3%,0.003430532,0.241852487,0.684391081,0.034305317,0.003372681,0.21079258,0.730185497,0.030354132,0.003372681,0.21079258,0.730185497,0.030354132
6366,2180,West Central,6,5,6,6,5,6,6,6,6,80.25%,77.0%,77.0%,0.002469136,0.004938272,0.614814815,0.340740741,0,0.007575758,0.588383838,0.376262626,0,0.007575758,0.588383838,0.376262626
225,1520,Southwest,9,9,9,9,9,9,9,9,9,42.45%,36.2%,36.2%,0.003861004,0,0.181467181,0.760617761,0.016194332,0.008097166,0.149797571,0.769230769,0.016194332,0.008097166,0.149797571,0.769230769
8418,480,Metro,13,12,12,13,12,12,13,12,13,2.97%,1.9%,1.9%,0.108202443,0,0.047120419,0.767888307,0.111486486,0.003378378,0.047297297,0.756756757,0.111486486,0.003378378,0.047297297,0.756756757
8419,870,West Central,5,3,5,4,5,2,6,6,5,20.69%,15.4%,15.4%,0.00862069,0.004310345,0.034482759,0.922413793,0.009950249,0.004975124,0.049751244,0.92039801,0.009950249,0.004975124,0.049751244,0.92039801
8420,2700,Pikes Peak,7,7,6,6,7,6,7,9,6,20.45%,27.0%,27.0%,0.011363636,0,0.276515152,0.704545455,0.011406844,0.003802281,0.338403042,0.642585551,0.011406844,0.003802281,0.338403042,0.642585551
8422,880,Metro,6,1,6,3,1,6,3,2,6,96.54%,96.5%,96.5%,0,0.010810811,0.944144144,0.034234234,0,0.032374101,0.919064748,0.037769784,0,0.032374101,0.919064748,0.037769784
